element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
332, 6, 2, 2, True, 2019-08-10T16:30:00Z, 3, 1, 1, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 15.2, 53.0, 2.0, 7.0, 55, 0, 135628, 0, 0, 
332, 16, 11, 1, False, 2019-08-17T16:30:00Z, 2, 2, 2, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 8, 18.6, 0.3, 0.0, 1.9, 55, -13784, 147743, 7194, 20978, 
332, 28, 13, 1, True, 2019-08-25T15:30:00Z, 0, 1, 3, 87, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 16, 26.2, 26.9, 4.0, 5.7, 55, 4218, 164570, 20798, 16580, 
332, 31, 1, 0, False, 2019-09-01T15:30:00Z, 2, 2, 4, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 9, 16.8, 0.3, 8.0, 2.5, 55, -14682, 153196, 7283, 21965, 
332, 48, 7, 5, True, 2019-09-14T14:00:00Z, 4, 0, 5, 75, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 18, 2.8, 24.5, 6.0, 3.3, 55, 4012, 165033, 21588, 17576, 
332, 56, 9, 1, False, 2019-09-21T11:30:00Z, 2, 1, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 18, 26.2, 16.3, 6.0, 4.9, 55, -879, 166546, 7871, 8750, 
332, 69, 16, 2, True, 2019-09-28T14:00:00Z, 2, 1, 7, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 18, 21.2, 12.4, 0.0, 3.4, 55, -1015, 168585, 11350, 12365, 
332, 72, 4, 0, False, 2019-10-05T11:30:00Z, 3, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 55, -2855, 167635, 7506, 10361, 
332, 89, 18, 1, True, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 10, 6.8, 9.7, 6.0, 2.3, 55, -11589, 157457, 3697, 15286, 
332, 94, 10, 0, False, 2019-10-27T16:30:00Z, 2, 1, 10, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 11, 24.2, 28.9, 4.0, 5.7, 54, -12521, 145545, 1008, 13529, 
332, 106, 8, 0, False, 2019-11-03T16:30:00Z, 1, 1, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 54, -25750, 119949, 677, 26427, 
