element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
403, 5, 9, 6, False, 2019-08-11T13:00:00Z, 0, 0, 1, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 20, 10.0, 0.0, 0.0, 1.0, 50, 0, 91016, 0, 0, 
403, 20, 12, 2, True, 2019-08-19T19:00:00Z, 1, 1, 2, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 13.8, 0.1, 0.0, 1.4, 50, -1585, 98516, 3903, 5488, 
403, 30, 5, 2, True, 2019-08-25T15:30:00Z, 1, 1, 3, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 17.4, 0.7, 0.0, 1.8, 50, 2795, 105624, 8578, 5783, 
403, 35, 8, 1, False, 2019-09-01T13:00:00Z, 3, 2, 4, 90, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 11, 10.8, 10.0, 0.0, 2.1, 50, -134, 108140, 6362, 6496, 
403, 50, 6, 0, True, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 11, 12.8, 0.2, 0.0, 1.3, 50, 933, 111369, 9177, 8244, 
403, 54, 7, 1, False, 2019-09-22T13:00:00Z, 1, 1, 6, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 15, 14.8, 0.2, 0.0, 1.5, 50, -6316, 105455, 1670, 7986, 
403, 70, 18, 7, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 28, 17.6, 0.1, 0.0, 1.8, 50, -6014, 100056, 1571, 7585, 
403, 75, 11, 6, False, 2019-10-06T13:00:00Z, 0, 2, 8, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 24, 26.0, 0.1, 0.0, 2.6, 50, -3443, 96931, 1002, 4445, 
403, 90, 16, 1, True, 2019-10-19T14:00:00Z, 1, 1, 9, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 7, 7.8, 0.3, 0.0, 0.8, 50, 2716, 101367, 5075, 2359, 
403, 96, 13, 2, False, 2019-10-27T14:00:00Z, 1, 1, 10, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 13, 12.8, 0.3, 0.0, 1.3, 50, -767, 100573, 1767, 2534, 
403, 101, 1, 2, False, 2019-11-02T15:00:00Z, 1, 1, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 15, 16.2, 0.0, 0.0, 1.6, 50, 1049, 102130, 5324, 4275, 
