element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
239, 9, 6, 7, True, 2019-08-11T15:30:00Z, 4, 0, 1, 90, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 19, 39.2, 18.3, 71.0, 12.9, 75, 0, 327361, 0, 0, 
239, 20, 20, 7, False, 2019-08-19T19:00:00Z, 1, 1, 2, 90, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 20, 39.0, 3.3, 29.0, 7.1, 76, 200074, 619935, 232598, 32524, 
239, 25, 7, 5, True, 2019-08-24T14:00:00Z, 1, 2, 3, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 10, 15.4, 13.1, 36.0, 6.5, 77, 500008, 1173198, 552651, 52643, 
239, 39, 16, 0, False, 2019-08-31T11:30:00Z, 1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 77, -460536, 680768, 93181, 553717, 
239, 45, 9, 0, True, 2019-09-14T14:00:00Z, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 77, -292909, 402017, 11886, 304795, 
239, 60, 19, 0, False, 2019-09-22T13:00:00Z, 2, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 76, -89991, 320989, 5304, 95295, 
239, 67, 1, 0, True, 2019-09-30T19:00:00Z, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 76, -64683, 257714, 4377, 69060, 
239, 76, 13, 0, False, 2019-10-06T15:30:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 75, -39023, 219426, 1276, 40299, 
239, 87, 10, 1, True, 2019-10-20T15:30:00Z, 1, 1, 9, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0.2, 0.3, 0.0, 0.1, 75, -12915, 208094, 5968, 18883, 
239, 97, 14, 6, False, 2019-10-27T16:30:00Z, 1, 3, 10, 74, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 6, 47.0, 16.8, 106.0, 17.0, 75, 50287, 261598, 55030, 4743, 
239, 103, 3, 2, False, 2019-11-02T12:30:00Z, 1, 0, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 4.8, 3.9, 11.0, 2.0, 76, 146625, 414585, 153648, 7023, 
239, 115, 4, 10, True, 2019-11-10T14:00:00Z, 3, 1, 12, 90, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 2, 32, 45.0, 44.0, 45.0, 13.4, 77, 141072, 568782, 154170, 13098, 
239, 128, 15, 2, False, 2019-11-24T16:30:00Z, 3, 3, 13, 84, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 6.0, 24.0, 3.0, 78, 119443, 683939, 140299, 20856, 
239, 135, 2, 2, True, 2019-12-01T16:30:00Z, 2, 2, 14, 81, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 6.2, 2.8, 61.0, 7.0, 78, -24488, 655168, 30957, 55445, 
239, 144, 17, 0, True, 2019-12-04T19:30:00Z, 2, 1, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 77, -109240, 545207, 5286, 114526, 
