element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
247, 9, 6, 0, True, 2019-08-11T15:30:00Z, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, 0, 36386, 0, 0, 
247, 20, 20, 0, False, 2019-08-19T19:00:00Z, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 50, -6547, 36077, 2691, 9238, 
247, 25, 7, 0, True, 2019-08-24T14:00:00Z, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 49, -5646, 31769, 1085, 6731, 
247, 39, 16, 1, False, 2019-08-31T11:30:00Z, 1, 1, 4, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2.0, 2.8, 21.0, 2.6, 49, -4376, 28726, 965, 5341, 
247, 45, 9, 3, True, 2019-09-14T14:00:00Z, 1, 0, 5, 66, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11.8, 1.4, 0.0, 1.3, 48, -1319, 28887, 1817, 3136, 
247, 60, 19, 2, False, 2019-09-22T13:00:00Z, 2, 0, 6, 70, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 11, 11.4, 3.9, 11.0, 2.6, 48, -42, 29834, 1534, 1576, 
247, 67, 1, 0, True, 2019-09-30T19:00:00Z, 1, 1, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -657, 29996, 1540, 2197, 
247, 76, 13, 0, False, 2019-10-06T15:30:00Z, 1, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -1022, 29451, 949, 1971, 
247, 87, 10, 0, True, 2019-10-20T15:30:00Z, 1, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -1148, 28731, 572, 1720, 
247, 97, 14, 0, False, 2019-10-27T16:30:00Z, 1, 3, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -1500, 27365, 155, 1655, 
247, 103, 3, 0, False, 2019-11-02T12:30:00Z, 1, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -2024, 25376, 50, 2074, 
247, 115, 4, 0, True, 2019-11-10T14:00:00Z, 3, 1, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -1220, 24199, 18, 1238, 
247, 128, 15, 0, False, 2019-11-24T16:30:00Z, 3, 3, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -987, 23294, 55, 1042, 
247, 135, 2, 0, True, 2019-12-01T16:30:00Z, 2, 2, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -492, 22855, 25, 517, 
247, 144, 17, 0, True, 2019-12-04T19:30:00Z, 2, 1, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -298, 22588, 16, 314, 
247, 155, 11, 0, False, 2019-12-07T17:30:00Z, 1, 2, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 48, -283, 22326, 21, 304, 
