element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
118, 9, 12, 1, False, 2019-08-11T15:30:00Z, 4, 0, 1, 72, 0, 0, 0, 3, 0, 0, 0, 1, 0, 0, 0, 10, 6.2, 4.3, 8.0, 1.9, 50, 0, 220477, 0, 0, 
118, 14, 9, 1, True, 2019-08-18T15:30:00Z, 1, 1, 2, 70, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 3, 8.2, 5.0, 1.0, 1.4, 50, -262, 245994, 30572, 30834, 
118, 26, 14, 1, False, 2019-08-24T11:30:00Z, 2, 3, 3, 90, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 18, 14.0, 13.6, 10.0, 3.8, 50, -23980, 226141, 18583, 42563, 
118, 33, 15, 7, True, 2019-08-31T14:00:00Z, 2, 2, 4, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 26, 25.6, 22.4, 4.0, 5.2, 50, -21642, 210500, 21325, 42967, 
118, 50, 20, 5, False, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 30, 33.8, 38.8, 0.0, 7.3, 50, 9558, 228701, 33105, 23547, 
118, 53, 10, 2, True, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 14, 10.8, 17.8, 1.0, 3.0, 50, 8689, 240752, 26289, 17600, 
118, 63, 4, 11, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3, 45, 57.2, 42.4, 18.0, 11.8, 50, -1018, 242564, 21957, 22975, 
118, 78, 16, 1, False, 2019-10-06T13:00:00Z, 1, 4, 8, 90, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 12, 18.2, 3.6, 0.0, 2.2, 50, 117540, 374386, 130332, 12792, 
118, 83, 13, 3, True, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 19, 23.4, 20.2, 0.0, 4.4, 51, 6234, 377680, 38696, 32462, 
118, 93, 5, 2, False, 2019-10-26T16:30:00Z, 2, 4, 10, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 18, 10.4, 3.9, 0.0, 1.4, 51, 2343, 381941, 22761, 20418, 
118, 109, 18, 4, False, 2019-11-02T17:30:00Z, 1, 2, 11, 90, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 26, 30.2, 36.3, 0.0, 6.7, 51, -15818, 367747, 21448, 37266, 
