element, fixture, opponent_team, total_points, was_home, kickoff_time, team_h_score, team_a_score, round, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index, value, transfers_balance, selected, transfers_in, transfers_out,
113, 9, 12, 0, False, 2019-08-11T15:30:00Z, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 70, 0, 47254, 0, 0, 
113, 14, 9, 1, True, 2019-08-18T15:30:00Z, 1, 1, 2, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0.2, 1.0, 4.0, 0.5, 70, -9760, 40401, 1924, 11684, 
113, 26, 14, 1, False, 2019-08-24T11:30:00Z, 2, 3, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0.0, 0.3, 4.0, 0.4, 70, -1942, 41831, 4642, 6584, 
113, 33, 15, 1, True, 2019-08-31T14:00:00Z, 2, 2, 4, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 4.2, 2.8, 2.0, 0.9, 70, -490, 45519, 6804, 7294, 
113, 50, 20, 2, False, 2019-09-14T14:00:00Z, 2, 5, 5, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 13, 9.6, 6.4, 4.0, 2.0, 70, -3785, 44898, 3461, 7246, 
113, 53, 10, 2, True, 2019-09-22T15:30:00Z, 1, 2, 6, 90, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 13, 7.6, 9.6, 10.0, 2.7, 70, 1174, 48255, 4802, 3628, 
113, 63, 4, 10, True, 2019-09-28T14:00:00Z, 2, 0, 7, 90, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 30, 47.4, 14.2, 73.0, 13.5, 70, 6367, 57467, 10965, 4598, 
113, 78, 16, 8, False, 2019-10-06T13:00:00Z, 1, 4, 8, 90, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 3, 29, 27.2, 41.8, 11.0, 8.0, 70, 32510, 94810, 37263, 4753, 
113, 83, 13, 3, True, 2019-10-19T14:00:00Z, 1, 0, 9, 90, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16.2, 44.8, 35.0, 9.6, 70, 30934, 130403, 39340, 8406, 
113, 93, 5, 12, False, 2019-10-26T16:30:00Z, 2, 4, 10, 71, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2, 35, 60.0, 35.3, 59.0, 15.4, 70, 3354, 134751, 15129, 11775, 
113, 109, 18, 2, False, 2019-11-02T17:30:00Z, 1, 2, 11, 90, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 14, 21.6, 54.1, 23.0, 9.9, 71, 37997, 180561, 47533, 9536, 
